[16161.317945] loading modue 
[16161.318224] Process Name: gvfsd-metadata
[16161.318225] Process Name: gvfsd-burn
[16161.318225] Process Name: dconf-service
[16161.318226] Process Name: gdm-session-wor
[16161.318226] Process Name: sublime_text
[16161.318227] Process Name: plugin_host
[16161.318227] Process Name: cupsd
[16161.318228] Process Name: gdm-session-wor
[16161.318228] Process Name: gdm-session-wor
[16161.318229] Process Name: gdm-session-wor
[16161.318229] Process Name: gdm-session-wor
[16161.318229] Process Name: gnome-terminal-
[16161.318230] Process Name: gnome-pty-helpe
[16161.318230] Process Name: bash
[16161.318231] Process Name: kworker/0:0
[16161.318231] Process Name: kworker/0:2
[16161.318232] Process Name: sublime_text
[16161.318232] Process Name: plugin_host
[16161.318233] Process Name: kworker/0:1
[16161.318233] Process Name: su
[16161.318234] Process Name: bash
[16161.318234] Process Name: insmod
F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  5999 ep_pol ?        00:00:03 systemd
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 smpboo ?        00:00:01 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:0H
1 S     0     7     2  0  80   0 -     0 rcu_gp ?        00:00:01 rcu_sched
1 S     0     8     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_bh
1 S     0     9     2  0 -40   - -     0 smpboo ?        00:00:00 migration/0
5 S     0    10     2  0 -40   - -     0 smpboo ?        00:00:00 watchdog/0
1 S     0    11     2  0  60 -20 -     0 rescue ?        00:00:00 khelper
5 S     0    12     2  0  80   0 -     0 devtmp ?        00:00:00 kdevtmpfs
1 S     0    13     2  0  60 -20 -     0 rescue ?        00:00:00 netns
1 S     0    14     2  0  80   0 -     0 watchd ?        00:00:00 khungtaskd
1 S     0    15     2  0  60 -20 -     0 rescue ?        00:00:00 writeback
1 S     0    16     2  0  85   5 -     0 ksm_sc ?        00:00:00 ksmd
1 S     0    17     2  0  99  19 -     0 khugep ?        00:00:00 khugepaged
1 S     0    18     2  0  60 -20 -     0 rescue ?        00:00:00 crypto
1 S     0    19     2  0  60 -20 -     0 rescue ?        00:00:00 kintegrityd
1 S     0    20     2  0  60 -20 -     0 rescue ?        00:00:00 bioset
1 S     0    21     2  0  60 -20 -     0 rescue ?        00:00:00 kblockd
1 S     0    23     2  0  80   0 -     0 kswapd ?        00:00:00 kswapd0
1 S     0    24     2  0  60 -20 -     0 rescue ?        00:00:00 vmstat
1 S     0    25     2  0  80   0 -     0 fsnoti ?        00:00:00 fsnotify_mark
1 S     0    31     2  0  60 -20 -     0 rescue ?        00:00:00 kthrotld
1 S     0    32     2  0  60 -20 -     0 rescue ?        00:00:00 ipv6_addrconf
1 S     0    33     2  0  60 -20 -     0 rescue ?        00:00:00 deferwq
1 S     0    67     2  0  80   0 -     0 hub_th ?        00:00:00 khubd
1 S     0    68     2  0  60 -20 -     0 rescue ?        00:00:00 ata_sff
1 S     0    69     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_0
1 S     0    70     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_0
1 S     0    71     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_1
1 S     0    72     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_1
1 S     0    75     2  0  60 -20 -     0 rescue ?        00:00:00 kpsmoused
1 S     0    80     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_2
1 S     0    81     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_2
1 S     0    82     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_3
1 S     0    83     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_3
1 S     0    84     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_4
1 S     0    85     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_4
1 S     0    86     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_5
1 S     0    87     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_5
1 S     0    88     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_6
1 S     0    89     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_6
1 S     0    90     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_7
1 S     0    91     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_7
1 S     0    92     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_8
1 S     0    93     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_8
1 S     0    94     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_9
1 S     0    95     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_9
1 S     0    96     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_10
1 S     0    97     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_10
1 S     0    98     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_11
1 S     0    99     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_11
1 S     0   100     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_12
1 S     0   101     2  0  60 -20 -     0 worker ?        00:00:01 kworker/0:1H
1 S     0   102     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_12
1 S     0   103     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_13
1 S     0   104     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_13
1 S     0   105     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_14
1 S     0   106     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_14
1 S     0   107     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_15
1 S     0   108     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_15
1 S     0   109     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_16
1 S     0   111     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_16
1 S     0   112     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_17
1 S     0   113     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_17
1 S     0   114     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_18
1 S     0   115     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_18
1 S     0   116     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_19
1 S     0   117     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_19
1 S     0   118     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_20
1 S     0   119     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_20
1 S     0   120     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_21
1 S     0   121     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_21
1 S     0   122     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_22
1 S     0   123     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_22
1 S     0   124     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_23
1 S     0   125     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_23
1 S     0   126     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_24
1 S     0   127     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_24
1 S     0   128     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_25
1 S     0   129     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_25
1 S     0   130     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_26
1 S     0   131     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_26
1 S     0   132     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_27
1 S     0   133     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_27
1 S     0   134     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_28
1 S     0   135     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_28
1 S     0   136     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_29
1 S     0   137     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_29
1 S     0   138     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_30
1 S     0   139     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_30
1 S     0   140     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_31
1 S     0   141     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_31
1 S     0   166     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:28
1 S     0   167     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:29
1 S     0   191     2  0  80   0 -     0 kjourn ?        00:00:00 jbd2/sda1-8
1 S     0   192     2  0  60 -20 -     0 rescue ?        00:00:00 ext4-rsv-conver
1 S     0   223     2  0  80   0 -     0 kaudit ?        00:00:00 kauditd
4 S     0   230     1  0  80   0 -  3238 ep_pol ?        00:00:00 systemd-udevd
4 S     0   241     1  0  80   0 -  2105 ep_pol ?        00:00:00 systemd-journal
4 S   100   295     1  0  80   0 -  3078 ep_pol ?        00:00:00 systemd-timesyn
1 S     0   383     2  0  60 -20 -     0 rescue ?        00:00:00 ttm_swap
5 S     0   436     1  0  80   0 -  1095 poll_s ?        00:00:00 rpcbind
5 S   107   446     1  0  80   0 -  1144 poll_s ?        00:00:00 rpc.statd
1 S     0   451     2  0  60 -20 -     0 rescue ?        00:00:00 rpciod
1 S     0   453     2  0  60 -20 -     0 rescue ?        00:00:00 nfsiod
1 S     0   460     1  0  80   0 -   730 ep_pol ?        00:00:00 rpc.idmapd
4 S     0   490     1  0  80   0 -  9124 poll_s ?        00:00:00 accounts-daemon
4 S     0   491     1  0  80   0 -  1253 hrtime ?        00:00:00 cron
4 S     0   492     1  0  80   0 - 10012 poll_s ?        00:00:00 ModemManager
4 S     0   493     1  0  80   0 -  7774 poll_s ?        00:00:00 rsyslogd
4 S   105   494     1  0  80   0 -   890 poll_s ?        00:00:00 avahi-daemon
4 S     0   496     1  0  80   0 - 13926 poll_s ?        00:00:00 NetworkManager
4 S     1   499     1  0  80   0 -   662 hrtime ?        00:00:00 atd
4 S   104   501     1  0  80   0 -  1459 ep_pol ?        00:00:00 dbus-daemon
1 S   105   508   494  0  80   0 -   890 unix_s ?        00:00:00 avahi-daemon
1 S     0   520     2  0  60 -20 -     0 rescue ?        00:00:00 cfg80211
4 S     0   525     1  0  80   0 -   951 ep_pol ?        00:00:00 systemd-logind
0 S     0   535     1  0  80   0 -   549 poll_s ?        00:00:00 acpid
4 S     0   539     1  0  80   0 -  2505 poll_s ?        00:00:00 cups-browsed
4 S     0   542     1  0  80   0 -  2027 poll_s ?        00:00:00 sshd
5 S     0   550     1  0  80   0 -   544 poll_s ?        00:00:00 minissdpd
4 S     0   566     1  0  80   0 -  9083 poll_s ?        00:00:00 polkitd
4 S     0   570     1  0  80   0 -  1044 n_tty_ tty1     00:00:00 agetty
4 S     0   594     1  0  80   0 - 11689 poll_s ?        00:00:00 gdm3
4 S     0   606   594  1  80   0 - 46451 poll_s tty7     00:02:44 Xorg
4 S     0   635   496  0  80   0 -  2312 poll_s ?        00:00:00 dhclient
5 S   106   832     1  0  80   0 -  2482 poll_s ?        00:00:00 exim4
4 S     0   941     1  0  80   0 - 10410 poll_s ?        00:00:00 upowerd
4 S   108   955     1  0  80   0 - 10502 poll_s ?        00:00:00 colord
4 S   114   963     1  0  81   1 -  5348 poll_s ?        00:00:00 rtkit-daemon
4 S     0   991     1  0  80   0 -  1915 poll_s ?        00:00:00 wpa_supplicant
4 S     0   994     1  0  80   0 - 17040 poll_s ?        00:00:01 packagekitd
4 S     0  1006   594  0  80   0 - 11541 poll_s ?        00:00:00 gdm-session-wor
4 S  1000  1009     1  0  80   0 -  1213 ep_pol ?        00:00:00 systemd
5 S  1000  1010  1009  0  80   0 -  1610 sigtim ?        00:00:00 (sd-pam)
1 S  1000  1014     1  0  80   0 - 13721 poll_s ?        00:00:00 gnome-keyring-d
4 S  1000  1017  1006  0  80   0 - 21438 poll_s ?        00:00:00 x-session-manag
1 S  1000  1054  1017  0  80   0 -  1107 poll_s ?        00:00:00 ssh-agent
1 S  1000  1057     1  0  80   0 -   994 poll_s ?        00:00:00 dbus-launch
1 S  1000  1058     1  0  80   0 -  1430 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1061     1  0  80   0 - 10820 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1065  1061  0  80   0 -  1312 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1069     1  0  80   0 -  4564 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1081  1017  0  80   0 - 45957 poll_s ?        00:00:01 gnome-settings-
1 S  1000  1096     1  0  69 -11 - 22336 poll_s ?        00:00:00 pulseaudio
0 S  1000  1098     1  0  80   0 -  7852 poll_s ?        00:00:00 gvfsd
1 S  1000  1106     1  0  80   0 -   568 wait   ?        00:00:00 start-pulseaudi
0 S  1000  1107  1106  0  80   0 -  1642 poll_s ?        00:00:00 xprop
0 S  1000  1112     1  0  80   0 - 11414 futex_ ?        00:00:00 gvfsd-fuse
0 S  1000  1120     1  0  80   0 - 10203 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0  1122     1  0  80   0 - 13097 poll_s ?        00:00:00 udisksd
0 S  1000  1131     1  0  80   0 -  7620 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1134     1  0  80   0 - 37496 poll_s ?        00:00:00 goa-daemon
0 S  1000  1142     1  0  80   0 - 10648 poll_s ?        00:00:00 mission-control
0 S  1000  1144     1  0  80   0 -  7797 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1148     1  0  80   0 -  7550 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1152     1  0  80   0 - 10496 poll_s ?        00:00:00 gvfs-afc-volume
0 R  1000  1158  1017  2  80   0 - 134275 -     ?        00:06:47 gnome-shell
0 S  1000  1162     1  0  80   0 - 14139 poll_s ?        00:00:00 gsd-printer
0 S  1000  1174     1  0  80   0 - 23066 poll_s ?        00:00:00 gnome-shell-cal
0 S  1000  1178     1  0  80   0 - 30387 poll_s ?        00:00:00 evolution-sourc
0 S  1000  1191  1017  0  80   0 - 41222 poll_s ?        00:00:00 evolution-alarm
0 S  1000  1192  1017  0  80   0 - 18245 poll_s ?        00:00:00 nm-applet
0 S  1000  1194  1017  0  99   - - 10841 poll_s ?        00:00:00 tracker-miner-u
0 S  1000  1196  1017  0  80   0 - 31071 poll_s ?        00:00:05 nautilus
0 S  1000  1197  1017  0  99  19 - 41090 poll_s ?        00:00:00 tracker-extract
0 S  1000  1201  1017  0  80   0 - 16390 poll_s ?        00:00:00 zeitgeist-datah
0 S  1000  1202     1  0  80   0 - 20047 poll_s ?        00:00:00 tracker-store
0 S  1000  1203  1017  0  99  19 - 26717 poll_s ?        00:00:00 tracker-miner-f
0 S  1000  1204  1017  0  99   - - 12956 poll_s ?        00:00:00 tracker-miner-a
0 S  1000  1206  1017  0  80   0 -  9636 poll_s ?        00:00:00 applet.py
0 S  1000  1217     1  0  80   0 - 11736 poll_s ?        00:00:00 zeitgeist-daemo
0 S  1000  1235     1  0  80   0 - 15483 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  1241     1  0  80   0 -  2319 poll_s ?        00:00:00 gconfd-2
0 S  1000  1248  1235  0  80   0 -   976 unix_s ?        00:00:00 cat
0 S  1000  1250     1  0  80   0 - 44327 poll_s ?        00:00:00 evolution-calen
0 S  1000  1260     1  0  80   0 - 16143 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1286     1  0  80   0 -  5264 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  1289     1  0  80   0 -  9901 poll_s ?        00:00:00 gvfsd-burn
0 S  1000  1343     1  0  80   0 -  6284 poll_s ?        00:00:00 dconf-service
4 S     0  1440  1006  0  80   0 -  7403 poll_s ?        00:00:00 gdm-session-wor
1 S  1000  1469     1  0  80   0 - 42938 poll_s ?        00:00:58 sublime_text
0 S  1000  1479  1469  0  80   0 - 17236 futex_ ?        00:00:02 plugin_host
4 S     0  1935     1  0  80   0 -  2974 ep_pol ?        00:00:00 cupsd
4 S     0 23441  1006  0  80   0 -  7403 poll_s ?        00:00:00 gdm-session-wor
4 S     0 23476  1006  0  80   0 -  7403 poll_s ?        00:00:00 gdm-session-wor
4 S     0 23519  1006  0  80   0 -  7403 poll_s ?        00:00:00 gdm-session-wor
4 S     0 23684  1006  0  80   0 -  7403 poll_s ?        00:00:00 gdm-session-wor
0 S  1000 23722     1  0  80   0 - 16653 poll_s ?        00:00:05 gnome-terminal-
0 S  1000 23725 23722  0  80   0 -   604 unix_s ?        00:00:00 gnome-pty-helpe
0 S  1000 23726 23722  0  80   0 -  1721 wait   pts/0    00:00:00 bash
1 S     0 27454     2  0  80   0 -     0 worker ?        00:00:01 kworker/0:0
1 S     0 27497     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
5 S     0 27514     1  0  80   0 - 50612 poll_s ?        00:00:02 sublime_text
0 S     0 27524 27514  0  80   0 -  9169 futex_ ?        00:00:00 plugin_host
1 S     0 28446     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
4 S     0 29085 23726  0  80   0 -  1454 wait   pts/0    00:00:00 su
4 S     0 29086 29085  0  80   0 -  1376 wait   pts/0    00:00:00 bash
4 R     0 29105 29086  0  80   0 -  1134 -      pts/0    00:00:00 ps
